k,model,seed,split,acc,macro_f1,f1_Asphalt,f1_Meadows,f1_Gravel,f1_Trees,f1_PaintedMetal,f1_BareSoil,f1_Bitumen,f1_Bricks,f1_Shadows
4,lda,0,val,0.6134154244977317,0.638903976915118,0.7072515666965085,0.6111403047819233,0.36909871244635195,0.7845161290322581,0.992619926199262,0.16343723673125526,0.5180023228803716,0.6242038216560509,0.9798657718120806
4,lda,0,test,0.6602153894178242,0.6763506075450962,0.8192325473878872,0.7164937539699343,0.34959349593495936,0.9159836065573771,0.9876543209876543,0.29208472686733555,0.33986928104575165,0.6702923181509177,0.9959514170040485
4,logreg,0,val,0.6182760855476345,0.6623763917173964,0.6792975970425139,0.6155864602466544,0.4513064133016627,0.8166992824527071,0.994475138121547,0.1497175141242938,0.5609195402298851,0.6979310344827586,0.9954545454545455
4,logreg,0,test,0.7157796160449509,0.733036883742836,0.8576642335766423,0.7374350086655113,0.45874587458745875,0.916923076923077,0.9959183673469387,0.40062111801242234,0.42823529411764705,0.8058375634517766,0.9959514170040485
4,mlp,0,val,0.6908619572261827,0.7199926913324604,0.7461953853706431,0.6969072164948453,0.46741573033707867,0.8286644951140065,0.989010989010989,0.3277693474962064,0.6846473029045643,0.7438692098092643,0.9954545454545455
4,mlp,0,test,0.7950678944904012,0.7838541141017235,0.8543140028288543,0.8428865979381444,0.503448275862069,0.9263565891472868,0.9959183673469387,0.5756097560975609,0.5267489711934157,0.8374689826302729,0.9919354838709677
4,mlp,1,val,0.7059300064808814,0.7198374913679062,0.7465785747994337,0.7299162148841793,0.4337957124842371,0.8355263157894737,0.9836065573770492,0.2913453299057412,0.7077922077922078,0.7545219638242894,0.9954545454545455
4,mlp,1,test,0.7910098329951616,0.7772516733787392,0.862037037037037,0.8341728793068709,0.4909456740442656,0.9296875,0.9959183673469387,0.5035783994795056,0.5324675324675324,0.8505062537224538,0.9959514170040485
4,mlp,2,val,0.7326636422553467,0.7274668548381317,0.7529522909777988,0.7807017543859649,0.4760820045558087,0.845691382765531,0.989010989010989,0.24315443592552027,0.7134767836919592,0.7506775067750677,0.9954545454545455
4,mlp,2,test,0.7917902294365537,0.7678687317487556,0.8667588750576303,0.8483685220729367,0.47586206896551725,0.9306930693069307,0.991869918699187,0.4350499615680246,0.5412844036697247,0.828996282527881,0.9919354838709677
8,lda,0,val,0.659753726506805,0.6633483941574962,0.7136060894386299,0.7129428778018799,0.5092707045735476,0.8171052631578948,1.0,0.10621062106210621,0.4830805134189031,0.6436498150431565,0.9842696629213483
8,lda,0,test,0.7134384267207742,0.6879184029311775,0.7815533980582524,0.8245952197378565,0.359612724757953,0.8802588996763754,0.9958847736625515,0.4174757281553398,0.29906542056074764,0.6408839779005525,0.9919354838709677
8,logreg,0,val,0.7316915100453661,0.7406351648249323,0.7816867469879518,0.7506006727534839,0.6182170542635659,0.8317880794701987,0.9981515711645101,0.2939958592132505,0.6929510155316607,0.7051282051282052,0.9931972789115646
8,logreg,0,test,0.8389261744966443,0.8103984691150582,0.8977221974095578,0.8950146627565982,0.5083056478405316,0.9232343909928352,1.0,0.6671348314606742,0.5977653631284916,0.8084577114427861,0.9959514170040485
8,mlp,0,val,0.7849967595593,0.7866390805465673,0.8074179743223966,0.8178231608261778,0.5824064711830131,0.8775086505190312,1.0,0.4472843450479233,0.7822014051522248,0.7696551724137931,0.9954545454545455
8,mlp,0,test,0.8551584204776026,0.820339140426955,0.8786764705882353,0.9188343438294543,0.5008517887563884,0.9345417925478349,1.0,0.7519434628975264,0.5793103448275863,0.8229426433915212,0.9959514170040485
