experiment,loss,arm,M,q,C,N,s_w,s_b,s_v,rho,n_draws,metric,value
lemma3_1,ce,,16,4,4,64,1.0,0.5,1.0,0.5,200,frac_draws_lam_Gphiphi_ge_lam_GWW,1.0
lemma3_1,ce,,16,4,4,64,1.0,0.5,1.0,0.5,200,mean_ratio_lam_Gphiphi_over_lam_GWW,1.4781069851305861
thm3_2,ce,,16,4,4,64,1.0,0.5,1.0,0.5,200,lam_max_Sh,8.143587893251766
thm3_2,ce,,16,4,4,64,1.0,0.5,1.0,0.5,200,mean_lam_max_GWW,1.6397951579569685
thm3_2,ce,,16,4,4,64,1.0,0.5,1.0,0.5,200,sem_lam_max_GWW,0.06580965035754961
thm3_2,ce,,16,4,4,64,1.0,0.5,1.0,0.5,200,std_lam_max_GWW,0.9306890007067807
thm3_2,ce,,16,4,4,64,1.0,0.5,1.0,0.5,200,min_lam_max_GWW,0.08964936847615367
thm3_2,ce,,16,4,4,64,1.0,0.5,1.0,0.5,200,max_lam_max_GWW,4.998132887842232
thm3_2,ce,,16,4,4,64,1.0,0.5,1.0,0.5,200,q05_lam_max_GWW,0.5449036916547721
thm3_2,ce,,16,4,4,64,1.0,0.5,1.0,0.5,200,q05_lam_over_M,0.03405648072842326
thm3_2,ce,,16,4,4,64,1.0,0.5,1.0,0.5,200,q25_lam_max_GWW,0.9728842408726435
thm3_2,ce,,16,4,4,64,1.0,0.5,1.0,0.5,200,q25_lam_over_M,0.06080526505454022
thm3_2,ce,,16,4,4,64,1.0,0.5,1.0,0.5,200,q50_lam_max_GWW,1.461703821890265
thm3_2,ce,,16,4,4,64,1.0,0.5,1.0,0.5,200,q50_lam_over_M,0.09135648886814156
thm3_2,ce,,16,4,4,64,1.0,0.5,1.0,0.5,200,q75_lam_max_GWW,2.0311492399685376
thm3_2,ce,,16,4,4,64,1.0,0.5,1.0,0.5,200,q75_lam_over_M,0.1269468274980336
thm3_2,ce,,16,4,4,64,1.0,0.5,1.0,0.5,200,q95_lam_max_GWW,3.5908416643121117
thm3_2,ce,,16,4,4,64,1.0,0.5,1.0,0.5,200,q95_lam_over_M,0.22442760401950698
thm3_2,ce,,16,4,4,64,1.0,0.5,1.0,0.5,200,mean_lam_over_M,0.10248719737231053
thm3_2,ce,,16,4,4,64,1.0,0.5,1.0,0.5,200,min_lam_over_M,0.005603085529759604
thm3_2,ce,,16,4,4,64,1.0,0.5,1.0,0.5,200,frac_lam_ge_0.001M,1.0
thm3_2,ce,,16,4,4,64,1.0,0.5,1.0,0.5,200,frac_lam_ge_0.003M,1.0
thm3_2,ce,,16,4,4,64,1.0,0.5,1.0,0.5,200,frac_lam_ge_0.01M,0.995
