dataset,block,seed,batch,rank,eigenvalue
breast,theta,1,3,29,23.920692967492844
breast,theta,1,3,30,22.129917878038675
breast,theta,1,3,31,21.385386225269386
breast,theta,1,3,32,19.470595735756238
breast,theta,1,3,33,19.011063282404756
breast,theta,1,3,34,17.24928435559267
breast,theta,1,3,35,16.757319509449523
breast,theta,1,3,36,15.38030617232567
breast,theta,1,3,37,13.97866541666929
breast,theta,1,3,38,13.51048447933946
breast,theta,1,3,39,13.45044551850462
breast,theta,1,3,40,13.04175721328722
breast,phi,1,3,1,193.56034623952885
breast,phi,1,3,2,133.53364328664026
breast,phi,1,3,3,90.36402626398805
breast,phi,1,3,4,66.41726956672967
breast,phi,1,3,5,57.237894259009956
breast,phi,1,3,6,52.53727824589239
breast,phi,1,3,7,46.05492259853224
breast,phi,1,3,8,43.41154410647937
breast,phi,1,3,9,40.339701039255836
breast,phi,1,3,10,37.16815179802138
breast,phi,1,3,11,36.27589547186995
breast,phi,1,3,12,33.69941791489173
breast,phi,1,3,13,30.853802609866847
breast,phi,1,3,14,29.238138678924454
breast,phi,1,3,15,26.15324391026741
breast,theta,2,0,1,186.35032473523475
breast,theta,2,0,2,90.72180334794511
breast,theta,2,0,3,74.97803527672167
breast,theta,2,0,4,65.27277225710051
breast,theta,2,0,5,63.04630906565708
breast,theta,2,0,6,59.5766010411196
breast,theta,2,0,7,51.50072115387407
breast,theta,2,0,8,40.21968660138974
breast,theta,2,0,9,39.00774728818302
breast,theta,2,0,10,34.67352643817335
breast,theta,2,0,11,31.603773414982044
breast,theta,2,0,12,29.52781950494558
breast,theta,2,0,13,28.608317069433134
breast,theta,2,0,14,25.67535905569922
breast,theta,2,0,15,24.329388905985386
breast,theta,2,0,16,22.310205808378416
breast,theta,2,0,17,21.393549942107292
breast,theta,2,0,18,19.803182568646978
breast,theta,2,0,19,18.4716188221694
breast,theta,2,0,20,18.123227714206667
breast,theta,2,0,21,17.64082769718763
breast,theta,2,0,22,16.50312474909104
breast,theta,2,0,23,15.606889490182432
breast,theta,2,0,24,15.319551574301519
breast,theta,2,0,25,14.691085241416967
breast,theta,2,0,26,14.373598950810091
breast,theta,2,0,27,13.57810196041999
breast,theta,2,0,28,13.058769058449531
breast,theta,2,0,29,12.181182731163155
breast,theta,2,0,30,11.997246013254315
breast,theta,2,0,31,11.665177001024304
breast,theta,2,0,32,11.025363736253452
breast,theta,2,0,33,10.637106121580363
breast,theta,2,0,34,10.14880370177208
breast,theta,2,0,35,9.852515137831059
breast,theta,2,0,36,9.512910841400952
breast,theta,2,0,37,9.298344586058585
breast,theta,2,0,38,9.046933021751205
breast,theta,2,0,39,8.887384659617059
breast,theta,2,0,40,8.54602405177423
breast,phi,2,0,1,151.75565533136492
breast,phi,2,0,2,105.17842466201202
breast,phi,2,0,3,89.00474851455611
breast,phi,2,0,4,35.20390229821458
breast,phi,2,0,5,33.66723350580366
breast,phi,2,0,6,32.799973768404975
breast,phi,2,0,7,29.37386685619516
breast,phi,2,0,8,26.176441327200752
breast,phi,2,0,9,25.678572220356298
breast,phi,2,0,10,24.410769302059755
breast,phi,2,0,11,22.077164076089655
breast,phi,2,0,12,20.864843537521335
breast,phi,2,0,13,19.495515446422274
breast,phi,2,0,14,17.700133601579246
breast,phi,2,0,15,16.66713269809396
breast,theta,2,1,1,210.23408457760732
breast,theta,2,1,2,88.76587951390398
breast,theta,2,1,3,77.18324361396016
breast,theta,2,1,4,70.5863384200516
breast,theta,2,1,5,67.25993513477746
breast,theta,2,1,6,64.74009413601937
breast,theta,2,1,7,57.94712317381173
breast,theta,2,1,8,54.50105066910843
breast,theta,2,1,9,51.66039586584795
breast,theta,2,1,10,45.316720231818294
breast,theta,2,1,11,43.12132337417019
breast,theta,2,1,12,38.409513859012364
breast,theta,2,1,13,36.536127890511324
breast,theta,2,1,14,32.45979708862772
breast,theta,2,1,15,30.94467272517327
breast,theta,2,1,16,28.874962827153258
breast,theta,2,1,17,27.529990391579613
breast,theta,2,1,18,26.852811565941725
breast,theta,2,1,19,24.6148746047239
breast,theta,2,1,20,23.03474624541013
breast,theta,2,1,21,22.25078101594666
breast,theta,2,1,22,21.64685719588795
